defense,USR,ASR_L1,ASR_L2,ASR_L3,ASR_L4,FPR,R-ASR
none,0.000,0.000,1.000,0.367,0.000,0.000,1.000
spotlighting,0.000,0.000,1.000,0.383,0.000,0.000,1.000
struq,0.000,0.000,0.100,0.000,0.000,0.000,0.100
task_shield,0.000,0.000,0.000,0.000,0.000,0.000,0.000
attention_tracker,0.000,0.000,1.000,0.433,0.000,0.000,1.000
p1_unobservable_signal,0.000,0.000,0.983,0.483,0.000,0.000,0.983
