defense,USR,ASR_L1,ASR_L2,ASR_L3,ASR_L4,FPR,R-ASR
none,1.000,0.933,0.933,0.967,0.000,0.000,0.967
spotlighting,1.000,0.900,0.900,0.933,0.000,0.000,0.933
struq,1.000,0.300,0.233,0.100,0.000,0.000,0.233
task_shield,0.467,0.067,0.133,0.167,0.000,0.533,0.167
attention_tracker,1.000,0.967,0.933,0.900,0.000,0.000,0.933
p1_unobservable_signal,0.767,0.800,0.633,0.900,0.000,0.233,0.900
p2_orthogonal_signals,0.333,0.100,0.067,0.167,0.000,0.667,0.167
