defense,USR,ASR_L1,ASR_L2,ASR_L3,ASR_L4,FPR,R-ASR
none,1.000,0.967,1.000,0.867,0.000,0.000,1.000
spotlighting,1.000,0.933,1.000,0.900,0.000,0.000,1.000
struq,1.000,0.300,0.667,0.467,0.000,0.000,0.667
task_shield,1.000,0.967,1.000,0.867,0.000,0.000,1.000
attention_tracker,1.000,0.967,1.000,0.833,0.000,0.000,1.000
p1_unobservable_signal,0.967,1.000,0.967,0.733,0.000,0.033,0.967
p2_orthogonal_signals,0.967,0.967,0.967,0.833,0.000,0.033,0.967
